related_url_doi,n
NA,1393
10.22002,156
10.5281,140
10.6084,58
10.2210,56
10.7914,39
10.7283,29
10.5061,26
10.17632,25
10.7910,23
10.1371,21
10.17605,21
10.5067,14
10.1594,11
10.3334,10
10.7909,7
10.1021,4
10.17909,4
10.6019,4
10.1029,3
10.1038,3
10.14291,3
10.26009,3
10.26022,3
10.5285,3
10.6078,3
10.7265,3
10.1093,2
10.1126,2
10.17190,2
10.17882,2
10.23719,2
10.35097,2
10.3929,2
10.5065,2
10.6071,2
10.7275,2
10.7284,2
10.7907,2
10.7935,2
10.7936,2
10.1002,1
10.1016,1
10.1073,1
10.1101,1
10.1128,1
10.1130,1
10.11922,1
10.11998,1
10.12129,1
10.12197,1
10.13012,1
10.14768,1
10.15138,1
10.15479,1
10.17172,1
10.17182,1
10.17189,1
10.17595,1
10.17603,1
10.17608,1
10.17611,1
10.17612,1
10.17617,1
10.17863,1
10.18129,1
10.18434,1
10.18738,1
10.20383,1
10.20783,1
10.21334,1
10.21979,1
10.21985,1
10.24435,1
10.25349,1
10.25392,1
10.25422,1
10.25573,1
10.25611,1
10.25675,1
10.25850,1
10.25852,1
10.25914,1
10.25925,1
10.25989,1
10.26007,1
10.26008,1
10.26131,1
10.26133,1
10.26186,1
10.26188,1
10.26190,1
10.2905,1
10.3886,1
10.4049,1
10.4211,1
10.4225,1
10.4231,1
10.48324,1
10.5066,1
10.5069,1
10.50849,1
10.5270,1
10.5523,1
10.5905,1
10.6073,1
10.6075,1
10.6080,1
10.7272,1
10.7274,1
10.7298,1
10.7488,1
10.9732,1
