eprint_id,record_doi,related_url,description,type,date,related_url_short,related_url_doi,year,doi_name
119501,10.1038/s41586-022-05410-9,10.5281/zenodo.5970733,Data,doi,2023-01-12,NA,10.5281,2023,cern.zenodo
119483,10.1038/s41586-022-05446-x,10.22002/wecmz-csm13,Data,doi,2023-01-12,NA,10.22002,2023,caltech.data
118971,10.1093/ofid/ofac701,10.22002/fmz6a-0x036,Data,doi,2023-01,NA,10.22002,2023,caltech.data
118900,10.1038/s42003-022-04206-x,10.5061/dryad.g79cnp5sm,Source Data for Figure 2,doi,2022-12-13,NA,10.5061,2022,dryad.dryad
118756,10.2110/jsr.2022.032,10.22002/D1.20044,Data,doi,2022-12,NA,10.22002,2022,caltech.data
118319,10.1021/acssuschemeng.2c05239,10.22002/42gwd-8wg77,Data,doi,2022-12-05,NA,10.22002,2022,caltech.data
118257,10.3847/2041-8213/ac9d39,10.17909/2x4w-pd04,Data,doi,2022-11-20,NA,10.17909,2022,stsci.mast
118235,10.1038/s41598-022-23624-9,10.17605/OSF.IO/QC453,Datasets,doi,2022-11-17,NA,10.17605,2022,cos.osf
118075,10.1088/1748-9326/ac9dae,10.22002/D1.20216,Data,doi,2022-11,NA,10.22002,2022,caltech.data
117979,10.1111/gcb.16503,10.5281/zenodo.7212844,Data,doi,2022-10-25,NA,10.5281,2022,cern.zenodo
117947,10.2138/am-2022-8335,http://www.minsocam.org/MSA/AmMin/TOC/2022/Nov2022_data/AM-22-118335.zip,Data,pub,2022-11-01,http://www.minsocam.org,NA,2022,NA
117898,10.7907/x2g2-v221,10.7907/m79a-gw54,Caltech Example Data Management Plan,related,2022,NA,10.7907,2022,caltech.library
117799,10.3334/ORNLDAAC/2102,10.3334/ORNLDAAC/2102,Dataset,doi,2022-10-06,NA,10.3334,2022,ORNL Environmental Sciences Division
117776,10.7283/T5WD3XQR,10.7283/T5WD3XQR,Dataset,doi,2011,NA,10.7283,2011,unavco.unavco
117775,10.7283/T5154F50,10.7283/T5154F50,Dataset,doi,2008,NA,10.7283,2008,unavco.unavco
117774,10.7283/T54T6GGP,10.7283/T54T6GGP,Dataset,doi,2006,NA,10.7283,2006,unavco.unavco
117773,10.7283/T58K775Z,10.7283/T58K775Z,Dataset,doi,2004,NA,10.7283,2004,unavco.unavco
117772,10.7283/T5DB7ZXB,10.7283/T5DB7ZXB,Dataset,doi,2004,NA,10.7283,2004,unavco.unavco
117771,10.7283/T5J38QN2,10.7283/T5J38QN2,Dataset,doi,2004,NA,10.7283,2004,unavco.unavco
117770,10.7283/T5NV9GCG,10.7283/T5NV9GCG,Dataset,doi,2004,NA,10.7283,2004,unavco.unavco
117769,10.7283/T5FB512H,10.7283/T5FB512H,Dataset,doi,2004,NA,10.7283,2004,unavco.unavco
117768,10.7283/T5RN360T,10.7283/T5RN360T,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117767,10.7283/T59K48BS,10.7283/T59K48BS,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117766,10.7283/T5SN073R,10.7283/T5SN073R,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117765,10.7283/T5222RWN,10.7283/T5222RWN,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117764,10.7283/T55T3HKM,10.7283/T55T3HKM,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117763,10.7283/T5K35RSF,10.7283/T5K35RSF,Dataset,doi,2001,NA,10.7283,2001,unavco.unavco
117738,10.7283/T5XD0ZS7,10.7283/T5XD0ZS7,Dataset,doi,1996,NA,10.7283,1996,unavco.unavco
117649,10.1016/j.patter.2022.100552,https://bionumbers.hms.harvard.edu,BioNumbers Database,related,2022-09,https://bionumbers.hms.harvard.edu,NA,2022,NA
117649,10.1016/j.patter.2022.100552,http://anthroponumbers.org,Human Impacts Database,NA,2022-09,http://anthroponumbers.org,NA,2022,NA
117219,10.1093/mnras/stac2559,10.17909/t9-r08f-dq31,Data: stellar cluster catalogue,doi,2022-09-23,NA,10.17909,2022,stsci.mast
116789,10.1029/2022jb024185,10.22002/D1.1891,Data,doi,2022-09,NA,10.22002,2022,caltech.data
116345,10.1029/2022jb024185,10.22002/D1.1891,Data,doi,2022-09,NA,10.22002,2022,caltech.data
116343,NA,http://flathub.flatironinstitute.org/fire,Data,related,2022-02-14,http://flathub.flatironinstitute.org,NA,2022,NA
