Year,Unvailable,Total,Percentage,StandardDev,StandardError
2023,0,4,0,NA,NA
2022,8,619,0.012924071,0.113038409,0.004543397
2021,31,747,0.041499331,0.199575692,0.007302093
2020,23,383,0.060052219,0.237894335,0.012155833
2019,5,114,0.043859649,0.205686886,0.019264342
2018,5,51,0.098039216,0.30032662,0.042054138
2017,5,24,0.208333333,0.414851117,0.08468113
2016,10,57,0.175438596,0.383722696,0.050825313
2015,6,53,0.113207547,0.319878424,0.043938681
2014,12,43,0.279069767,0.453850269,0.069211517
2013,2,5,0.4,NA,NA
2012,1,6,0.166666667,NA,NA
2011,0,3,0,NA,NA
2010,2,3,0.666666667,NA,NA
2009,1,2,0.5,NA,NA
2008,0,10,0,NA,NA
2007,2,7,0.285714286,NA,NA
2006,2,7,0.285714286,NA,NA
2005,0,3,0,NA,NA
2004,3,9,0.333333333,NA,NA
2002,0,4,0,NA,NA
2001,0,8,0,NA,NA
1996,0,1,0,NA,NA
1981,0,1,0,NA,NA
1964,0,1,0,NA,NA
1951,0,1,0,NA,NA
