eprint_id,publication_doi,publication_date,publication_date_year,related_link,related_link_description,related_link_type,related_url_homepage,related_url_homepage_test,related_doi_prefix,related_doi_owner,related_link_scraped,related_link_scraped_title
117649,10.1016/j.patter.2022.100552,Sep-22,2022,https://bionumbers.hms.harvard.edu,BioNumbers Database,URL,https://bionumbers.hms.harvard.edu,TRUE,NA,NA,https://bionumbers.hms.harvard.edu,"
	Search BioNumbers - The Database of Useful Biological Numbers
"
117649,10.1016/j.patter.2022.100552,Sep-22,2022,http://anthroponumbers.org,Human Impacts Database,URL,http://anthroponumbers.org,TRUE,NA,NA,http://anthroponumbers.org,Anthroponumbers.org
116122,10.1093/gji/ggac189,Oct-22,2022,https://ncedc.org/,Northern California Earthquake Data Center,URL,https://ncedc.org,TRUE,NA,NA,https://ncedc.org/,NCEDC: Northern California Earthquake Data Center
116122,10.1093/gji/ggac189,Oct-22,2022,https://scedc.caltech.edu/,Southern California Earthquake Data Center,URL,https://scedc.caltech.edu,TRUE,NA,NA,https://scedc.caltech.edu/,Southern California Earthquake Data Center at Caltech
115773,10.3847/1538-4357/ac75ce,2022-07-10,2022,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
115728,10.5194/amt-15-3401-2022,2022-06-09,2022,https://cds.climate.copernicus.eu/,Copernicus Climate Data Store,URL,https://cds.climate.copernicus.eu,TRUE,NA,NA,https://cds.climate.copernicus.eu/,Copernicus Climate Data Store | 
115728,10.5194/amt-15-3401-2022,2022-06-09,2022,https://data2.gosat.nies.go.jp/,GOSAT Data Archive Service,URL,https://data2.gosat.nies.go.jp,TRUE,NA,NA,https://data2.gosat.nies.go.jp/,GOSAT Data Archive Service
115722,10.5194/acp-22-6811-2022,2022-05-25,2022,https://cmsflux.jpl.nasa.gov,Data,URL,https://cmsflux.jpl.nasa.gov,TRUE,NA,NA,https://cmsflux.jpl.nasa.gov,CMS-Flux
115359,10.1101/2022.06.29.498132,2022-06-30,2022,https://cardiogenesis-atac.cells.ucsc.edu/,Dataset,URL,https://cardiogenesis-atac.cells.ucsc.edu,TRUE,NA,NA,https://cardiogenesis-atac.cells.ucsc.edu/,UCSC Cell Browser
114949,10.1029/2022gb007330,Jun-22,2022,https://www.bco-dmo.org,Biological and Chemical Oceanography Data Management Office,URL,https://www.bco-dmo.org,TRUE,NA,NA,https://www.bco-dmo.org,Introduction to BCO-DMO | BCO-DMO
