eprint_id,publication_doi,publication_date_year,related_link,related_link_description,linkType,related_url_homepage,related_url_homepage_test,related_doi_prefix,related_doi_owner,related_link_scraped,browser_test,browser_test_notes
112345,10.1029/2021ea001959,2021,https://pdsÉ?êimaging.jpl.nasa.gov/,NASA Planetary Data System Cartography and Imaging Node,URL,https://pdsÉ?êimaging.jpl.nasa.gov,TRUE,NA,NA,https://pds-imaging.jpl.nasa.gov/,TRUE,error in URL but now resolves
108916,10.1029/2020gl091836,2021,http://www.archive.arm.gov,Data,URL,http://www.archive.arm.gov,TRUE,NA,NA,http://www.archive.arm.gov,TRUE,resolves to homepage
108606,10.5194/acp-21-2229-2021,2021,http://106.37.208.233:20035,"Data - real-time PM2.5, O3, NO2, SO2, and CO observations",URL,http://106.37.208.233:20035,TRUE,NA,NA,http://106.37.208.233:20035,FALSE,
106645,10.3847/1538-4357/abb6fb,2020,https://frbhosts.org/,Data,URL,https://frbhosts.org,TRUE,NA,NA,https://frbhosts.org/,FALSE,malware
102224,NA,2020,https://co2.jpl.nasa.gov,Data,URL,https://co2.jpl.nasa.gov,TRUE,NA,NA,https://co2.jpl.nasa.gov,FALSE,
64158,NA,2016,http://motility.caltech.edu/,Motoility Database,URL,http://motility.caltech.edu,TRUE,NA,NA,http://motility.caltech.edu/,FALSE,
63687,10.1016/j.epsl.2015.10.046,2016,http://www.data.scec.org/,Southern California Earthquake Data Center (SCEDC),URL,http://www.data.scec.org,TRUE,NA,NA,http://www.data.scec.org/,FALSE,
57558,10.1002/2014JD022121,2015,http://cdp.ucar.edu/,Data,URL,http://cdp.ucar.edu,TRUE,NA,NA,http://cdp.ucar.edu/,FALSE,
42658,10.1126/science.1247166,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data SystemÉ??s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,FALSE,
42648,10.1126/science.1244797,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data SystemÉ??s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,FALSE,
