doi,doi_name
10.1021,American Chemical Society (ACS)
10.1128,American Society for Microbiology
10.4225,ardcx
10.5523,bl.bristol
10.17863,bl.cam
10.25852,bl.crest
10.7488,bl.ed
10.17632,bl.mendeley
10.5285,bl.nerc
10.25989,caltech.hte
10.26133,caltech.ipacdoi
10.14291,caltech.library
10.7909,caltech.library
10.7935,caltech.library
10.6078,cdl.ucb
10.6080,cdl.ucb
10.6071,cdl.ucm
10.7272,cdl.ucsf
10.17182,cern.hepdata
10.5281,cern.zenodo
10.1101,Cold Spring Harbor Laboratory
10.7298,cornell.library
10.17605,cos.osf
10.25675,csu.rep1
10.7284,cul.r2r
10.17190,doe.lbnl
10.5061,dryad.dryad
10.6073,edi.edi
10.1016,Elsevier BV
10.6019,EMBL-EBI
10.23719,epa.epa
10.5067,esdis.eosdis
10.5905,ethz.da-rd
10.3929,ethz.e-coll
10.24435,ethz.marvel
10.2905,europ.data
10.25422,figshare.ariz
10.6084,figshare.ars
10.7910,gdcc.harvard-dv
10.21979,gdcc.ntu
10.1130,Geological Society of America
10.13012,illinois.databank
10.17882,inist.ifremer
10.14768,inist.ipsl
10.17611,iris.iris
10.7914,iris.iris
10.15479,ist.rex
10.26009,iu.sd
10.17595,jalc.jalc
10.20783,jalc.jalc
10.18129,ncicbiit.nciphub
10.15138,noaa.gmd
10.25925,noaa.gmd
10.7265,nsidc.datactr
10.21985,nu.arch
10.17608,nzau.data
10.3334,ORNL Environmental Sciences Division
10.1093,Oxford University Press (OUP)
10.1594,pangaea.repository
10.1073,Proceedings of the National Academy of Sciences
10.1371,Public Library of Science (PLoS)
10.4231,purdue.purduelib
10.9732,Revista Brasileira de Estudos Politicos
10.25611,rice.fondren
10.26007,sbn.archive
10.1038,Springer Science and Business Media LLC
10.17909,stsci.mast
10.18112,sul.openneuro
10.17612,tdl.digitalrocks
10.17603,tdl.tacc
10.4049,The American Association of Immunologists
10.17172,tib.hu
10.26022,tib.ldeo
10.17617,tib.mpdl
10.22002,tind.caltech
10.5065,ucar.ucar
10.26188,unimelb.repo1
10.26190,unsw.repo
10.5066,usgs.prod
10.2210,Worldwide Protein Data Bank
10.7936,wustl.lib
10.11998,ISTIC
10.12129,ISTIC
10.12197,ISTIC
