eprint_id,record_doi,related_url,description,type,date,related_url_short,related_url_doi,year,doi_name,testLink,linkType,linkIsBase,rowNum,linkTitle
112345,10.1029/2021ea001959,https://pds‐imaging.jpl.nasa.gov/,"NASA Planetary Data System Cartography and Imaging Node",related,2021-11-24,https://pds‐imaging.jpl.nasa.gov,NA,2021,NA,https://pds‐imaging.jpl.nasa.gov/,URL,TRUE,28,404
108916,10.1029/2020gl091836,http://www.archive.arm.gov,Data,related,2021-03-28,http://www.archive.arm.gov,NA,2021,NA,http://www.archive.arm.gov,URL,TRUE,54,404
108606,10.5194/acp-21-2229-2021,http://106.37.208.233:20035,"Data - real-time PM2.5, O3, NO2, SO2, and CO observations",doi,2021-02-15,http://106.37.208.233:20035,NA,2021,NA,http://106.37.208.233:20035,URL,TRUE,56,404
106645,10.3847/1538-4357/abb6fb,https://frbhosts.org/,Data,related,2020-11-10,https://frbhosts.org,NA,2020,NA,https://frbhosts.org/,URL,TRUE,72,404
102224,NA,https://co2.jpl.nasa.gov,Data,related,2020-03,https://co2.jpl.nasa.gov,NA,2020,NA,https://co2.jpl.nasa.gov,URL,TRUE,84,404
64158,NA,http://motility.caltech.edu/,Motoility Database,author,2016-01-26,http://motility.caltech.edu,NA,2016,NA,http://motility.caltech.edu/,URL,TRUE,105,404
63687,10.1016/j.epsl.2015.10.046,http://www.data.scec.org/,Southern California Earthquake Data Center (SCEDC),org,2016-01-01,http://www.data.scec.org,NA,2016,NA,http://www.data.scec.org/,URL,TRUE,106,404
57558,10.1002/2014JD022121,http://cdp.ucar.edu/,Data,org,2015-03-27,http://cdp.ucar.edu,NA,2015,NA,http://cdp.ucar.edu/,URL,TRUE,108,404
42658,10.1126/science.1247166,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,related,2014-01-24,http://ppi.pds.nasa.gov,NA,2014,NA,http://ppi.pds.nasa.gov/,URL,TRUE,110,404
42648,10.1126/science.1244797,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,related,2014-01-24,http://ppi.pds.nasa.gov,NA,2014,NA,http://ppi.pds.nasa.gov/,URL,TRUE,111,404
42647,10.1126/science.1245267,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,related,2014-01-24,http://ppi.pds.nasa.gov,NA,2014,NA,http://ppi.pds.nasa.gov/,URL,TRUE,112,404
42644,10.1126/science.1242777,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,related,2014-01-24,http://ppi.pds.nasa.gov,NA,2014,NA,http://ppi.pds.nasa.gov/,URL,TRUE,113,404
116216,10.21468/scipostphys.12.1.043,https://www.phenomldata.org/,benchmark dataset,related,2022-01-28,https://www.phenomldata.org,NA,2022,NA,https://www.phenomldata.org/,URL,TRUE,114,404
108255,NA,https://megacities.jpl.nasa.gov,CLARS-FTS data,related,2021-02-27,https://megacities.jpl.nasa.gov,NA,2021,NA,https://megacities.jpl.nasa.gov,URL,TRUE,151,404
106785,10.1029/2020gl090014,https://www.bou.class.noaa.gov,GOES-R Series Global Lightning Mapper data,related,2020-12-16,https://www.bou.class.noaa.gov,NA,2020,NA,https://www.bou.class.noaa.gov,URL,TRUE,166,404
116249,10.1029/2022je007280,https://pds-geosciences.wustl.edu/missions/msl/index.html,"NASA Planetary Data System Geosciences Node",related,2022-08,https://pds-geosciences.wustl.edu,NA,2022,NA,https://pds-geosciences.wustl.edu/missions/msl/index.html,URL,FALSE,185,404
115997,10.1002/jsp2.1217,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fjsp2.1217&file=jsp21217-sup-0001-supinfo.doc,Data,pub,2022-07-15,https://onlinelibrary.wiley.com,10.1002,2022,Wiley,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fjsp2.1217&file=jsp21217-sup-0001-supinfo.doc,URL,FALSE,190,404
115024,10.1029/2021gc010196,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0002-Data+Set+SI-S01.xlsx,Data Set S1,pub,2022-07,https://agupubs.onlinelibrary.wiley.com,10.1029,2022,American Geophysical Union (AGU),https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0002-Data+Set+SI-S01.xlsx,URL,FALSE,232,404
115024,10.1029/2021gc010196,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0003-Data+Set+SI-S02.xlsx,Data Set S2,pub,2022-07,https://agupubs.onlinelibrary.wiley.com,10.1029,2022,American Geophysical Union (AGU),https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0003-Data+Set+SI-S02.xlsx,URL,FALSE,233,404
115024,10.1029/2021gc010196,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0004-Data+Set+SI-S03.xlsx,Data Set S3,pub,2022-07,https://agupubs.onlinelibrary.wiley.com,10.1029,2022,American Geophysical Union (AGU),https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1029%2F2021GC010196&file=2021GC010196-sup-0004-Data+Set+SI-S03.xlsx,URL,FALSE,234,404
114079,10.1029/2021jc017760,http://www.ecmwf.int/en/forecasts/datasets/archive-datasets/reanalysis-datasets/era5,Data,related,2022-04,http://www.ecmwf.int,NA,2022,NA,http://www.ecmwf.int/en/forecasts/datasets/archive-datasets/reanalysis-datasets/era5,URL,FALSE,265,404
113509,10.1785/0120210259,https://scedc.caltech.edu/data/eewtesting.htm,Southern California Earthquake Data Center,related,2022-04,https://scedc.caltech.edu,NA,2022,NA,https://scedc.caltech.edu/data/eewtesting.htm,URL,FALSE,282,404
112846,10.2475/10.2021.02,http://earth.eps.yale.edu/~ajs/SupplementaryData/2021/Maurice/,Supplementary Data,pub,2021-12,http://earth.eps.yale.edu,NA,2021,NA,http://earth.eps.yale.edu/~ajs/SupplementaryData/2021/Maurice/,URL,FALSE,303,404
112345,10.1029/2021ea001959,https://pds‐geosciences.wustl.edu/missions/insight/index.htm,"NASA Planetary Data System Geosciences Node",related,2021-11-24,https://pds‐geosciences.wustl.edu,NA,2021,NA,https://pds‐geosciences.wustl.edu/missions/insight/index.htm,URL,FALSE,313,404
112195,10.1073/pnas.2109241118,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081621&DatabaseToSearch=Published,Data,related,2021-12-07,https://www.ccdc.cam.ac.uk,NA,2021,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081621&DatabaseToSearch=Published,URL,FALSE,333,404
112195,10.1073/pnas.2109241118,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081617&DatabaseToSearch=Published,Data,related,2021-12-07,https://www.ccdc.cam.ac.uk,NA,2021,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081617&DatabaseToSearch=Published,URL,FALSE,334,404
112195,10.1073/pnas.2109241118,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081622&DatabaseToSearch=Published,Data,related,2021-12-07,https://www.ccdc.cam.ac.uk,NA,2021,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081622&DatabaseToSearch=Published,URL,FALSE,335,404
112195,10.1073/pnas.2109241118,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2084054&DatabaseToSearch=Published,Data,related,2021-12-07,https://www.ccdc.cam.ac.uk,NA,2021,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2084054&DatabaseToSearch=Published,URL,FALSE,336,404
111712,10.1101/458992,https://github.com/AllenInstitute/chromosome-network-modeling,Data/Code,related,2018-11-03,https://github.com,NA,2018,NA,https://github.com/AllenInstitute/chromosome-network-modeling,URL,FALSE,351,404
111323,10.1021/acs.orglett.1c02836,https://www.ccdc.cam.ac.uk/services/structure_request?pid=ccdc:2097629&issn=1523-7060&id=doi:10.1021/acs.orglett.1c02836&sid=ACS,Supplementary Crystallographic Data,related,2021-10-15,https://www.ccdc.cam.ac.uk,10.1021,2021,American Chemical Society (ACS),https://www.ccdc.cam.ac.uk/services/structure_request?pid=ccdc:2097629&issn=1523-7060&id=doi:10.1021/acs.orglett.1c02836&sid=ACS,URL,FALSE,369,404
110037,10.3389/feart.2021.579198,http://hielo.igme.es/index.php/en/,Datasets,related,2021-06-17,http://hielo.igme.es,NA,2021,NA,http://hielo.igme.es/index.php/en/,URL,FALSE,418,404
109676,10.1093/mnras/stab911,https://gitlab.com/ssc-boxfit/SSC_boxfit,Data/Code,related,2021-06,https://gitlab.com,NA,2021,NA,https://gitlab.com/ssc-boxfit/SSC_boxfit,URL,FALSE,443,404
108161,NA,https://github.com/jinlong83/statistical-constrained-GANS,Data,related,2021-04-05,https://github.com,NA,2021,NA,https://github.com/jinlong83/statistical-constrained-GANS,URL,FALSE,547,404
108161,NA,https://github.com/Rui1521/Equivariant-Neural-Nets,Data,related,2021-04-05,https://github.com,NA,2021,NA,https://github.com/Rui1521/Equivariant-Neural-Nets,URL,FALSE,550,404
108004,10.1093/mnras/staa3429,https://github.com/UBC-Astrophysics/QEDSurface/tree/master/Caiazzo_Heyl_Model,Data,related,2021-02,https://github.com,NA,2021,NA,https://github.com/UBC-Astrophysics/QEDSurface/tree/master/Caiazzo_Heyl_Model,URL,FALSE,569,404
