eprint_id,record_doi,related_url,description,type,date,related_url_short,related_url_doi,year,doi_name,testLink,linkType,linkIsBase,rowNum,linkTitle
114457,10.1038/s41570-022-00382-w,https://www.ccdc.cam.ac.uk/,Cambridge Structural Database,related,2022-04-21,https://www.ccdc.cam.ac.uk,NA,2022,NA,https://www.ccdc.cam.ac.uk/,URL,TRUE,1,"
	Home​ ​- The Cambridge Crystallographic Data Centre (CCDC)
"
114457,10.1038/s41570-022-00382-w,http://open-reaction-database.org/,Open Reaction Database,related,2022-04-21,http://open-reaction-database.org,NA,2022,NA,http://open-reaction-database.org/,URL,TRUE,2,Welcome to the Open Reaction Database! — Open Reaction Database  documentation
114457,10.1038/s41570-022-00382-w,https://www.rcsb.org/,Protein Data Bank,related,2022-04-21,https://www.rcsb.org,NA,2022,NA,https://www.rcsb.org/,URL,TRUE,3,RCSB PDB: Homepage
114399,10.1038/s41467-022-29663-0,https://data.nas.nasa.gov/,"NASA ECCO Data Portal",related,2022-04-20,https://data.nas.nasa.gov,NA,2022,NA,https://data.nas.nasa.gov/,URL,TRUE,4,"
Data Portal
"
114329,10.1093/gji/ggab435,http://unavco.org/,Data,related,2022-03,http://unavco.org,NA,2022,NA,http://unavco.org/,URL,TRUE,5,UNAVCO
114328,10.1093/gji/ggab436,http://unavco.org/,Data,related,2022-03,http://unavco.org,NA,2022,NA,http://unavco.org/,URL,TRUE,6,UNAVCO
113708,10.1038/s41550-021-01594-8,https://pds-ppi.igpp.ucla.edu/,Planetary Data System,related,2022-04,https://pds-ppi.igpp.ucla.edu,NA,2022,NA,https://pds-ppi.igpp.ucla.edu/,URL,TRUE,7,PDS/PPI Home Page 
113546,10.1126/sciadv.abk1167,http://www.ncedc.org/,Northern California Earthquake Data Center,related,2022-02-25,http://www.ncedc.org,NA,2022,NA,http://www.ncedc.org/,URL,TRUE,8,NCEDC: Northern California Earthquake Data Center
113519,10.1101/2022.02.17.480955,https://etdb.caltech.edu/,Caltech Electron Tomography Database,related,2022-02-18,https://etdb.caltech.edu,NA,2022,NA,https://etdb.caltech.edu/,URL,TRUE,9,Electron Tomography Database
113056,10.3847/1538-4357/ac348f,https://spdf.gsfc.nasa.gov/,"NASA Space Physics Data Facility",related,2022-01-20,https://spdf.gsfc.nasa.gov,NA,2022,NA,https://spdf.gsfc.nasa.gov/,URL,TRUE,10,"NASA's Space Physics Data Facility (SPDF)"
