doi_name,n
NA,1223
tind.caltech,119
cern.zenodo,114
figshare.ars,56
iris.iris,32
bl.mendeley,25
dryad.dryad,25
gdcc.harvard-dv,21
cos.osf,20
Public Library of Science (PLoS),19
unavco.unavco,14
caltech.library,12
esdis.eosdis,12
pangaea.repository,11
ORNL Environmental Sciences Division,9
Worldwide Protein Data Bank,8
cdl.ucb,4
American Chemical Society (ACS),3
bl.nerc,3
EMBL-EBI,3
ISTIC,3
tib.ldeo,3
cdl.ucsd,2
cul.r2r,2
doe.lbnl,2
epa.epa,2
inist.ifremer,2
jalc.jalc,2
noaa.gmd,2
nsidc.datactr,2
Oxford University Press (OUP),2
ucar.ucar,2
American Association for the Advancement of Science (AAAS),1
American Society for Microbiology,1
ardcx,1
ardcx.nci,1
bibsys.npolar,1
bl.bristol,1
bl.cam,1
bl.crest,1
bl.ed,1
caltech.hte,1
caltech.ipacdoi,1
carl.frdr,1
cdl.ucm,1
cdl.ucsb,1
cdl.ucsf,1
cern.hepdata,1
Cold Spring Harbor Laboratory,1
cornell.library,1
csu.rep1,1
dartlib.dandi,1
edi.edi,1
Elsevier BV,1
ethz.da-rd,1
ethz.e-coll,1
ethz.marvel,1
europ.data,1
figshare.ariz,1
gdcc.ntu,1
Geological Society of America,1
illinois.databank,1
inist.ipsl,1
ist.rex,1
iu.sd,1
ncicbiit.nciphub,1
nioz.das,1
nu.arch,1
nzau.data,1
Proceedings of the National Academy of Sciences,1
purdue.purduelib,1
Revista Brasileira de Estudos Politicos,1
rice.fondren,1
sbn.archive,1
si.figshare,1
Springer Science and Business Media LLC,1
stsci.mast,1
tdl.digitalrocks,1
tdl.tacc,1
The American Association of Immunologists,1
tib.hu,1
tib.mpdl,1
und.library,1
unimelb.repo1,1
unsw.repo,1
usgs.prod,1
wh.whoas,1
wustl.lib,1
