related_url_short,n
NA,561
https://github.com/,114
https://www.ncbi.nlm.nih.gov/,52
https://data.caltech.edu/,40
https://osf.io/,20
https://zenodo.org/,19
https://spacephysics.princeton.edu/,16
https://figshare.com/,15
https://www.ccdc.cam.ac.uk/,15
http://www.sciencedirect.com/,14
https://spdf.gsfc.nasa.gov/,14
https://www-air.larc.nasa.gov/,11
https://www.addgene.org/,10
https://data.mendeley.com/,9
https://pds-geosciences.wustl.edu/,9
http://nar.oxfordjournals.org/,7
http://pds-geosciences.wustl.edu/,7
http://www.ncbi.nlm.nih.gov/,7
https://archive.stsci.edu/,7
https://pds-atmospheres.nmsu.edu/,7
https://www.bco-dmo.org/,7
http://cdsarc.u-strasbg.fr/,6
http://iopscience.iop.org/,6
https://atmos.nmsu.edu/,6
https://odr.io/,6
https://www.ebi.ac.uk/,6
http://sbn.psi.edu/,5
http://www.jbc.org/,5
http://www.plantphysiol.org/,5
http://www.pnas.org/,5
https://fire.northwestern.edu/,5
https://gitlab.com/,5
https://psl.noaa.gov/,5
https://tccondata.org/,5
https://www.ncdc.noaa.gov/,5
https://www.openicpsr.org/,5
http://github.com/,4
http://mnras.oxfordjournals.org/,4
http://ppi.pds.nasa.gov/,4
http://www.ebi.ac.uk/,4
http://www.jneurosci.org/,4
http://www.minsocam.org/,4
http://www.nature.com/,4
http://www.sciencemag.org/,4
https://dcc.ligo.org/,4
https://heasarc.gsfc.nasa.gov/,4
https://hirise-pds.lpl.arizona.edu/,4
https://openneuro.org/,4
http://ammin.geoscienceworld.org/,3
http://genesdev.cshlp.org/,3
http://genome.cshlp.org/,3
http://mbio.asm.org/,3
http://proteomecentral.proteomexchange.org/,3
http://scan.oxfordjournals.org/,3
http://www.fasebj.org/,3
http://www.geosociety.org/,3
http://www.plantcell.org/,3
https://almascience.nrao.edu/,3
https://bdsc.indiana.edu/,3
https://bitbucket.org/,3
https://cds.climate.copernicus.eu/,3
https://data.eol.ucar.edu/,3
https://dataverse.harvard.edu/,3
https://drive.google.com/,3
https://ds.iris.edu/,3
https://neurovault.org/,3
https://purl.stanford.edu/,3
https://rda.ucar.edu/,3
https://www.coriell.org/,3
https://www.jbc.org/,3
https://www.ncei.noaa.gov/,3
https://www.ngdc.noaa.gov/,3
http://apps.ecmwf.int/,2
http://archive.stsci.edu/,2
http://cancerres.aacrjournals.org/,2
http://cercor.oxfordjournals.org/,2
http://datadryad.org/,2
http://diabetes.diabetesjournals.org/,2
http://ds.iris.edu/,2
http://elifesciences.org/,2
http://firstglance.jmol.org/,2
http://gbe.oxfordjournals.org/,2
http://geodesy.unr.edu/,2
http://lab.debivort.org/,2
http://mccarthy.well.ox.ac.uk/,2
http://mct.aacrjournals.org/,2
http://petrology.oxfordjournals.org/,2
http://resolver.caltech.edu/,2
http://restud.oxfordjournals.org/,2
http://spp-isois.sr.unh.edu/,2
http://www-air.larc.nasa.gov/,2
http://www.aeaweb.org/,2
http://www.fao.org/,2
http://www.jimmunol.org/,2
http://www.marine-geo.org/,2
http://www.mcponline.org/,2
http://www.pdb.org/,2
http://www.rcsb.org/,2
http://www.ssn.unam.mx/,2
https://avdc.gsfc.nasa.gov/,2
https://bit.ly/,2
https://caltech.box.com/,2
https://cxc.harvard.edu/,2
https://daac.ornl.gov/,2
https://datadryad.org/,2
https://disc.gsfc.nasa.gov/,2
https://docs.google.com/,2
https://doi.org/,2
https://doi.pangaea.de/,2
https://esgf-node.llnl.gov/,2
https://espoarchive.nasa.gov/,2
https://irsa.ipac.caltech.edu/,2
https://koa.ipac.caltech.edu/,2
https://lambda.gsfc.nasa.gov/,2
https://mast.stsci.edu/,2
https://medicine.yale.edu/,2
https://pds.jpl.nasa.gov/,2
https://pds.nasa.gov/,2
