year,n
2022,2779
2021,7919
2020,7496
2019,6699
2018,7423
2017,8936
2016,9021
2015,8965
2014,9047
2013,8136
2012,7667
2011,6761
2010,6516
2009,6102
2008,5111
2007,4781
2006,4453
2005,3480
2004,3512
2003,3167
2002,2951
2001,2861
2000,2693
1999,2159
1998,2340
1997,1904
1996,2024
1995,1868
1994,1799
1993,1704
1992,1594
1991,1526
1990,1603
1989,1362
1988,1442
1987,1276
1986,1224
1985,1092
1984,1146
1983,1147
1982,1101
1981,973
1980,886
1979,811
1978,802
1977,805
1976,689
1975,683
1974,582
1973,560
1972,500
1971,478
1970,512
1969,486
1968,435
1967,413
1966,387
1965,351
1964,339
1963,318
1962,320
1961,262
1960,271
1959,179
1958,155
1957,149
1956,142
1955,149
1954,149
1953,150
1952,173
1951,169
1950,149
1949,143
1948,150
1947,75
1946,74
1945,46
1944,31
1943,42
1942,59
1941,73
1940,67
1939,88
1938,87
1937,96
1936,89
1935,92
1934,104
1933,105
1932,83
1931,78
1930,107
1929,70
1928,59
1927,72
1926,80
1925,87
1924,40
1923,19
1922,21
1921,11
1920,9
1919,7
1918,8
1917,12
1916,12
1915,6
1914,15
1913,3
1912,5
1911,3
1910,4
1909,1
1908,1
1906,2
1905,2
1904,2
1897,2
1895,7
1894,1
NA,2
